Encoding,Model,k,Metric,Avg Accuracy,Std Accuracy,Avg Precision,Avg Recall,Avg F1-score,Std F1-score
TF-IDF,KNN,5,cosine,0.8,0.26666666666666666,0.7333333333333333,0.8,0.7555555555555555,0.3173968190463489
TF-IDF,KNN,5,euclidean,0.7833333333333333,0.19436506316151003,0.7916666666666667,0.7833333333333333,0.7527777777777777,0.22263849899459867
TF-IDF,Logistic Regression,-,-,0.7666666666666666,0.12247448713915891,0.7,0.7666666666666666,0.7055555555555555,0.16442942874387495
TF-IDF,KNN,3,cosine,0.7666666666666666,0.1224744871391589,0.6916666666666667,0.7666666666666666,0.7022222222222221,0.16535035754645572
One-Hot,KNN,3,cosine,0.7,0.2147349787787521,0.5722222222222222,0.7,0.6111111111111109,0.2675909906398288
TF-IDF,KNN,7,euclidean,0.65,0.16158932858054428,0.5999999999999999,0.65,0.5855555555555555,0.1955239873509888
TF-IDF,KNN,3,manhattan,0.6166666666666667,0.2818589087547961,0.5833333333333334,0.6166666666666667,0.5777777777777777,0.29989710169479505
TF-IDF,KNN,7,cosine,0.6,0.27588242262078083,0.5333333333333333,0.6,0.5388888888888889,0.3150543750835072
One-Hot,KNN,3,manhattan,0.5833333333333333,0.2472066162365221,0.4875,0.5833333333333333,0.5144444444444444,0.2894780317471389
One-Hot,KNN,5,cosine,0.55,0.14529663145135577,0.44722222222222224,0.55,0.46111111111111097,0.1681416216713506
One-Hot,Logistic Regression,-,-,0.55,0.26666666666666666,0.4097222222222222,0.55,0.4477777777777777,0.32171607757135984
TF-IDF,KNN,3,euclidean,0.5166666666666666,0.219848432637882,0.4,0.5166666666666666,0.4422222222222222,0.18137336159507075
One-Hot,KNN,3,euclidean,0.5666666666666667,0.17795130420052185,0.3875,0.5666666666666667,0.4422222222222222,0.2025028577759025
One-Hot,KNN,7,euclidean,0.5166666666666666,0.15275252316519464,0.3791666666666667,0.5166666666666666,0.40055555555555544,0.1710208997407865
One-Hot,KNN,7,cosine,0.5,0.19002923751652298,0.3805555555555556,0.5,0.39444444444444443,0.21383476948797472
One-Hot,KNN,5,euclidean,0.5166666666666666,0.15275252316519464,0.3166666666666667,0.5166666666666666,0.38055555555555554,0.16187558093703847
TF-IDF,KNN,5,manhattan,0.4,0.37416573867739417,0.3916666666666667,0.4,0.375,0.3689323936863109
TF-IDF,KNN,7,manhattan,0.41666666666666663,0.2581988897471611,0.3333333333333333,0.41666666666666663,0.36222222222222217,0.22416924822966205
One-Hot,KNN,7,manhattan,0.3833333333333333,0.18708286933869708,0.24305555555555558,0.3833333333333333,0.28111111111111114,0.19949318500690075
One-Hot,KNN,5,manhattan,0.3333333333333333,0.09128709291752768,0.2555555555555556,0.3333333333333333,0.2594444444444445,0.10312404133486316
